Description,GPT Category,TeamA,Estimated Difficulty,# of Accounts Req.,Category,Old Team A,Team Dependent
This customer is planning to migrate from QBDT to QBO and want to implement this functionality where they have to manually create purchase orders for each supplier and system should allow them to select the desired line items from Estimate to pick and create PO for their respective suppliers with ease.,Inventory and Financial Management,Sales,Catalog Entry Available,53,Internal Tools and Efficiency,Stock Apps,
"The customer is just looking to convert an existing Estimate, Invoice, Sales Order or Work Order into an itemized list without any pricing.

This document would be used to attach with shipping to ensure the list of items is included.


Keywords:
Delivery Notes
Shipping Information
Delivery Info",Templates,Service Delivery,Catalog Entry Available,48,Customer-Facing Features,Stock Apps,
We have received requests to add a picture per (specified) items so the visual is available when the SalesRep selects the item on Invoice/Estimates.,Templates,Sales,Small (3 -4 hours),32,Customer-Facing Features,Stock Apps,
"Ability to change sort order of items on Sales Orders

- He is aware this will be Method:CRM only sort order, and these changes will not reflect the sort order of items in QuickBooks. 

- Sometimes, when creating Sales Orders, a customer requests an item at the end of the order, but the item needs to be ordered/displayed higher up in the items list. 

- Currently, they need to remove all items up to that part, and then add the new item and re-enter the items they removed. 

- They would like to add an item to the middle of a sales order, and have this order reflected internally on the Sales Order screen, print out, as well as in the portal. 

Keywords:
Move Lines
adjust line item
rearrange items",Product Functionality,Sales,Small (3 -4 hours),26,Internal Tools and Efficiency,Poeisis,Stock Apps
"The customer sells products in both German and English.

They need the ability to take their English Items and have them reflect their German name equivalent. 

In addition they need to have their templates updated to reflect the different language conditionally based on the customer that's been selected. ",Localization,,Large (10 - 30 hours),22,Customer-Facing Features,,
"The customer sells using SKUs rather than item names. 
Since items could have many variations.",Inventory and Financial Management,Sales,Catalog Entry Available,22,Inventory and Asset Management,Stock Apps,
"User would like the ability to insert a line item on an existing estimate / invoice.

Its important for their line items to flow in a certain order but they often forget to add certain line items during the estimate process.",Product Functionality,Sales,Small (3 -4 hours),14,Internal Tools and Efficiency,Transactions,Stock Apps
"I have attached a sample screen shot of the report a client wants to build. Can you provide me a rough estimate please. 

This report has a profit by item 
- Items also may also be linked to discount items which should be factored into the profit calculation. ",Reporting and Analytics,Sales,Medium (5-10 hours),13,Reporting and Insights,Stock Apps,
"is it possible to create a template estimate inside method Example when creating a new estimate several different items will appear. We almost use the same estimate items for all the customers.

eg. Paint 1 Bedroom, will always have the same 14 items on the estimate.
eg. Sliding Door Installation will always include removal of existing doors, new rails, new doors

Keywords:
Prebuilt Template
Prebuild Template
Pre Build
Pre Built
Estimate Categories
Pre-populate
Pre populate",Product Functionality,Sales,X-Small (1 -2 hours),12,Internal Tools and Efficiency,Stock Apps,
This customer wants to implement this functionality where they have to manually create purchase orders for each supplier and system should allow them to select the desired line items from Sales Order to pick and create PO for their respective suppliers with ease.,Inventory and Financial Management,Sales,X-Small (1 -2 hours),11,Inventory and Asset Management,Stock Apps,
"Include the ability to track items receipt in Method and sync back to QB.
Customer handles a large amount of inventory processing from vendors. 

Purchase order to bill flow is essential for their business.",Inventory and Financial Management,,Catalog Entry Available,7,,,
"Customer has a number of items they do not want their users to select or access. 
Ideally, they would like the ability to pick and choose what items their team could use. ",User Management,,X-Small (1 -2 hours),7,,,
"Hi guys,

How long will it take to convert a pledge (Opportunity) to a Donation (Sales receipt)?

Key fields we'd need 
- Line Items on the Opportunity screen
- Entity
- Billing Address",Product Functionality,,Medium (5-10 hours),7,,,
"Customer would like to create a custom app to track Billboard rentals with some statistics like start date, end date etc

They would ideally like the rental app to auto populate when certain items are sold on an invoice.

Including when items have been checked in and checked out.",Product Functionality,,Medium (5-10 hours),7,,,
