Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
Very little instructions on how to set up a CRM for first time users. I am expected to ask Phuong ever thing I need to understand but how am I going to ask the right questions if there is no instruction or course on how to set up the CRM?,,Onboarding Experience,QBD,Wholesale and distribution services (MWD),US,12/26/2023
….,,Not Categorized,QBO-V3,Wholesale and distribution services (MWD),SR,11/26/2024
"Method didn't let me down..
we opened the account to review capabilities...
We recently purchased another business that uses Method.
I have been working with Safwan Hossian reviewing changes to the application...
Safwan is first rate, I enjoy working with him...

Franklin Kisberg
COO 
Decorative Ventures LLC",,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,8/13/2024
We have to keep a computer on at the office with Quickbooks to work and update and this just is to hard. If we are out on the app on the phone - it doesn't work to have to depend on a computer as well for the contact list.,Service Delivery,Integration Needs,QBD,Wholesale and distribution services (MWD),CA,3/12/2024
Nothing wrong with site. Just need something else. Thank you.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,8/2/2024
Not using the subscription enough.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,5/8/2024
Moved to Quickbooks Online,,Integration Needs,QBD,Wholesale and distribution services (MWD),US,3/22/2024
Were cancelling this fake account and setting up the real one rn.,,External Factors,QBD,Wholesale and distribution services (MWD),US,10/11/2024
We don't need it anymore.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,5/8/2024
we're switching to QuickBooks online,,Integration Needs,QBD,Wholesale and distribution services (MWD),US,11/22/2024
Signed up out of curiosity. Not what hes looking for.,,External Factors,QuickBooks,Wholesale and distribution services (MWD),,7/22/2024
"we find the system to complex to custom all the time and we are not interested in paying extra fees for the custom ongoing work

 

We will stick with QBO for the time being",,Customization and Flexibility,QBO-V3,Wholesale and distribution services (MWD),ZA,11/20/2024
"No reference to Quickbook quote lookup.

Proposals not working without payment gateway.

Cannot custom Email on estimates per user.

Very expensive with an exchange of 18:1

Otherwise a great product.",Customer,Customization and Flexibility,QBO-V3,Wholesale and distribution services (MWD),ZA,2/18/2024
EOS Remediation was acquired by another firm who uses an alternate CRM system.,,External Factors,QBD,Wholesale and distribution services (MWD),US,12/14/2023
You did not.  I do not have a use for this App nor the staff to use it. I may come back.  Thank you.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,5/3/2024
Too expensive for what we needed,,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,10/17/2024
Found another software. Please process refund for last payment processed.,,Pricing and Budget,QBD,Wholesale and distribution services (MWD),US,11/8/2024
We switched to HubSpot in 2023.,,Product Fit,QBD,Wholesale and distribution services (MWD),US,7/17/2024
The CRM did not function the way we needed it too.,,Product Fit,QBD,Wholesale and distribution services (MWD),US,1/18/2024
Did not let me down. This is a great software. I just won't be using it.,,Timing and Readiness,QBO-V3,Wholesale and distribution services (MWD),US,9/7/2024
closing the business,,External Factors,QBO-V3,Wholesale and distribution services (MWD),CA,6/5/2024
Actually you did fine. Not suited for are small business.,,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,9/26/2024
Syncing inconveniences,Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,4/22/2024
"I logged into their Admin portal RN and they are on the  Intuit Core  package



They do not want to pay $40 extra to upgrade their RN and thus they cannot install the MIE



Their owner declined the upgrade and they will not move forward with Method CRM",,Pricing and Budget,QBO-V3,Wholesale and distribution services (MWD),US,7/10/2024
Not interested in connecting QB with Method or testing our platform,,Integration Needs,QBO-V3,Wholesale and distribution services (MWD),GB,1/24/2024
Sold the business so don't need the CRM anymore.  It was great while we had it.,,External Factors,QBD,Wholesale and distribution services (MWD),US,7/19/2024
"Need more functionality and customization, moving toward PipeDrive & HubSpot Sales Hub",Customer,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,1/17/2024
